comment,date,sentiment
We need him back.,2024-01-15T17:03:18Z,-1
He sounds nothing like this anymore,2023-12-21T15:44:54Z,-1
He is so calm,2023-12-06T15:13:31Z,1
Goosebumps,2023-11-22T02:20:12Z,1
this trump is much more vibrant than the current one,2023-11-17T11:20:56Z,1
"आसा की किरनो से आया सादगी का रन्ग तो बहारो से मिलतें है हसी किस लिये

जो आलम से खिल जाये मंजिल के लिये सफर तो तभी एहसास से हसी है इसलिए 

समा बनकर जीवन के खाबो मे समाया तो असरदार की तरह इरादा ने खुशी दिये

आसियाना की तेहरान से जो कालिया का आकार रहा तो  सरगम भी  खुशी से है इसलिए",2023-11-07T17:21:07Z,0
Start of the most historical political run in US history,2023-10-21T05:13:47Z,1
"2024 MAGA, TRUMP FOR EVER",2023-10-14T21:17:03Z,1
Never gets old hearing this,2023-10-07T18:19:55Z,-1
"One of the WORST things to ever happen to this country. 
American history.",2023-10-03T04:21:14Z,-1
One speech forever changed history and politics,2023-10-03T02:22:42Z,-1
A great man and president ❤,2023-09-28T01:06:16Z,1
his voice changed as he became more corrupt.....,2023-09-15T02:42:23Z,-1
8 years later he’s got a mug shot not longer president and can’t run for 2024 due to him being arrested.,2023-09-11T14:40:22Z,-1
"Watch the colours of the flags and his suit, shirt and tie. They almost blend into one. Bless you Trump.",2023-09-06T07:38:36Z,1
Did he do anything for the vets?,2023-09-05T13:51:12Z,-1
TRUMP 2024,2023-09-01T23:27:35Z,1
Look its' inmate P01135809!,2023-08-25T18:35:32Z,0
Thank you Gwen Stefani.,2023-08-25T09:47:48Z,1
ہیں ابا,2023-08-20T14:03:10Z,0
تے میں ڈنگر واں جاواں,2023-08-20T14:02:58Z,0
آؤندے ول,2023-08-20T14:02:39Z,0
او جیڑا مینوں کیندااے جا,2023-08-20T14:02:27Z,0
ابو ٹحمہ تے دوم شیطان اے سارے جگ چے مشہور اے تے اے آؤندے وی بھیڑااے,2023-08-20T14:02:03Z,0
"He didn't write the ""Art of the Deal"" a Ghostwriter did it for him. The Lies began....",2023-08-08T23:26:20Z,-1
"Wow, you go back and listen to his message and you can see why Americans knew they had a real leader. Trump 2024!",2023-08-02T23:46:04Z,1
2023 How hard does this hit now people?,2023-07-21T05:35:08Z,-1
The beginning of the end,2023-07-15T02:44:16Z,-1
To think people call him raciest are the same people who are raciest lol .,2023-06-18T18:18:11Z,1
Greatest President ever!! See you in the Whitehouse 2025!,2023-06-14T15:32:06Z,1
7 years ago this came out. Wow,2023-06-05T21:33:57Z,1
#pakzadtrumpcampaign2016 #cultivatingcovid #jonathanpekar  #usedplansalesman #usmcbcitechnorape #usmcactivated #timmercado #executeTRUMP,2023-06-05T20:06:20Z,0
I remember being a young man who never paid attention to politics hearing from my trusted CNN that Trump said all Mexicans were rapists.... ended up watching this speech and having a great awakening in the following years. i will never regret my votes for TRUMP,2023-06-04T12:35:54Z,-1
This was the beginning of an era in the USA,2023-05-26T02:09:34Z,0
"His message is the same today. He tells the truth and they call him a liar. MAGA 2024!!!! Donald Trump to win in 2024, for the 3rd time.",2023-05-25T04:06:28Z,1
wwg1wga,2023-05-14T01:12:04Z,0
🙏🏻🙏🏻Donald  J. Trump  सबै देस सग मिलछ  मलाइ मनपछ  ❤❤❤❤❤❤ आफनो देस र जनता आरमि बचाऊन छ भनि  सबै सग मिलनु पछ,2023-04-15T13:10:55Z,1
Lock him up,2023-04-10T14:31:56Z,-1
Trump 2024!,2023-04-09T04:22:52Z,1
Libs hate America.  They hate you. They hate Thur ow lives and children! They are commies,2023-03-26T19:29:48Z,-1
Cancel the woke,2023-03-26T19:29:18Z,-1
Vote ❤ vote early this time,2023-03-26T19:28:52Z,1
One of the best moments in American history.,2023-03-18T17:26:29Z,1
3:25,2023-03-06T01:35:31Z,0
I love this man!!! ❤️ God bless him,2023-02-11T03:43:30Z,1
"Dude, he was the best we have had in a long time. Why did we elect Biden??",2023-01-08T04:52:59Z,1
"He has been the only one in my 76 years who put the people and US first. I cant understand why so many people arnt seeking the truth. Neil Young's song said it all. Does anyone look for the truths, think that the step on the escalator at that exact line was not planned. It is all about the children. Who watched the weekly border briefings???  Never saw them on mainstream media, a real eye opener about a President who was in it for others not himself.",2022-12-29T15:35:53Z,-1
"This made sense back then, but now it doesn't. Trump turned out to be another sellout which is what you have to be to become president. I voted for him the first time, but voted 3rd party the second time. Trump needs to let it go and move on.",2022-12-20T14:12:29Z,1
Trump will lose again and it is going to be wonderful to watch.,2022-11-25T00:16:48Z,-1
What a clown 🤡,2022-11-23T05:38:16Z,0
He Needs to be lead .We need you for this Country The love of Country 🇺🇸,2022-11-19T18:25:15Z,-1
Boooooo,2022-11-19T05:02:16Z,-1
We need him back things were much better before democrats took over,2022-11-18T10:29:41Z,-1
Republicans voted for gays to be stayed married today Trump will join the gays,2022-11-18T03:06:52Z,1
He wants to be the first place loser again without Vaseline he's going to take it wrong with another loss lolol,2022-11-18T03:05:04Z,-1
"Remember how he was gonna run in 2012? He actually should have ran in 2012 while he was still in his prime and then the Presidency we had from 2017–2021 should have been his second term.

That would have been the ideal, honestly. Oh well, maybe in another life.",2022-11-18T02:48:42Z,1
He used to have so much energy,2022-11-17T06:40:28Z,0
WOW !!!!! Donald Trump is completely unhinged  !!! Donald Trump needs to shut the f*** up  he makes no f****** sense wat so ever !!!,2022-11-16T22:31:17Z,1
Can’t wait for 2 dollar gas and mean tweets again!,2022-11-16T12:17:51Z,-1
Looking weak announcing his run 2 years out!,2022-11-16T11:10:31Z,-1
Like he is going to stop the status quo. Right!,2022-11-16T11:06:54Z,0
Wait a minute. I thought was headed to prison?,2022-11-16T11:05:26Z,-1
"7 years later, he is back. TRUMP 2024",2022-11-16T06:28:04Z,1
Go away! You are not the great we need.,2022-11-16T04:00:07Z,-1
"Surprise, surprise he is running for president. He wants to lose again.",2022-11-16T03:59:02Z,1
"""I'm proud to be an American... God bless the USA""  What a fantastic song. Ol' Trump knows how to win. He's still standing strong. Impressive. 👍🇺🇸",2022-11-16T03:47:34Z,1
"Never forget that Trump is the soul of a LIE. He inspired the population that perpetrated the January 6th Insurrection and even almost caused the murder of Vice President Pence. Wake up and see how USA REJECTED HIS ELECTION DENIARS. TRUMP IS IN FOR HIMSELF NOT FOR THE GOP. 

TRUMP IS THE PROBLEM. 🛑",2022-11-16T03:47:19Z,-1
I hope you repugnicans finally see through him.,2022-11-16T03:46:16Z,1
tRump is such a liar. The LIES,2022-11-16T03:45:08Z,-1
"Amerikkka has NEVER been great. Founded on thievery, lies, r8pe and slavery.",2022-11-16T03:44:09Z,-1
Total loser.,2022-11-16T03:44:07Z,0
"😭Donald(,t-Dump)!!!:,,, I'm officially running to be in jail tonight 😭!!!...",2022-11-16T03:34:17Z,-1
"Donald (t-Dump!!!):,,, Tonight I'm officially running from the law!!!...",2022-11-16T03:31:17Z,-1
OMIGOD: TOXIC PUMPKIN talked and lied over an hour. He's called himself a victim. POTUS of the United States of AMNESIA.,2022-11-16T03:28:50Z,1
"Comparing this speech to the one he is making right now for 2024... such a stark difference. The energy of this speech and his 2024 one is crazy. THIS is the trump that needs to come back, he is so low-energy tonight.",2022-11-16T02:57:20Z,1
I mean compated to Biden now. Trump presidency was actually amazing.,2022-11-16T02:33:31Z,1
"He’s delusional and the BIGGEST LOOSER!  And, he called service men, dummies. He’s a sucker for punishment.  We have so many more qualified than him.  He’s should take a dirt nap!",2022-11-15T16:46:02Z,1
Running for Prez to avoid criminal conviction SHOULD NOT BE A GOOD REASON TO try to RUN to the White House.,2022-11-14T19:36:36Z,1
"He would,  to get money from his cult.
Go for it.    You won't win anyway.    Americans are wiser now.",2022-11-14T03:33:05Z,-1
"Just to remind everyone, Trump never wanted to run for President, he did it, for a reason. Keep that in mind.",2022-11-13T04:14:09Z,1
"You will not be President, it won't happen, it won't happen, it won't happen... He doesn't care for the Vets, he had 4 years to do something.",2022-11-10T04:08:07Z,-1
We need trump more than ever!,2022-11-06T06:45:05Z,-1
Trump2024 best is yet to come,2022-10-26T23:43:40Z,1
The best President since Lincoln,2022-10-15T08:16:45Z,1
2024💯🙏🙏🙏🙏🙏,2022-10-07T02:26:06Z,0
Nice. We’ve only just begun.,2022-09-22T19:52:44Z,1
This is the exact moment we went into an alternate dimension,2022-09-09T23:14:26Z,1
"Make American Great Again!!! Ultra MAGA 

LETS GO BRANDON!",2022-08-23T06:37:48Z,1
"Today I learned the audience was literally paid actors. Source: Jonathan Karl, White House Reporter",2022-08-22T21:13:41Z,1
Will be returning very soon♡,2022-08-17T21:36:35Z,-1
S1 EP1,2022-08-16T23:08:31Z,0
"Hello Peter, welcome to fortnite",2022-08-15T08:06:37Z,1
"He did made America great for 4 years, now America is a mess under sleepy biden",2022-08-10T00:09:42Z,-1
this is 7yrs ago so i love long time trump to contact&now i suporter of trump&yes trump going to make america again.,2022-07-31T09:05:00Z,1
"i love trump not biden,i love make america great again with trump,save america with trump&america first with trump not biden.thank you so much",2022-07-31T09:01:16Z,1
Hallelujah,2022-07-19T00:10:43Z,1
"Trump has better memes than Biden, no one can deny.",2022-07-17T06:37:38Z,1
ULTRA-MAGA 4LIFE .We love you President TRUMP.,2022-07-15T17:00:18Z,1
I'll take him over the bad joke that's in office now.,2022-07-15T00:59:03Z,-1
Best President!,2022-07-13T18:20:00Z,1
Trump 2024,2022-07-04T21:33:05Z,1
He made it great again. Greatest economy in history... destroyed isis...space force...peace deals...tax cuts....strong border etc,2022-06-29T20:47:54Z,0
HOES MAD BABIES GLAD,2022-06-25T14:56:15Z,1
There’s no way this was 7 years ago I miss you Donald Trump,2022-06-23T00:36:25Z,-1
Wow. He actually did make it great again.,2022-06-22T06:59:21Z,1
president America Trump America Army Super nice America ♥️👌👌🙏 president,2022-06-20T10:50:30Z,1
🤮👎🐕‍🦺,2022-06-09T08:33:26Z,0
Iran visible to oman to make money and nuclear go hold them against global law of weapon and human right .,2022-05-27T19:03:48Z,-1
People desperately cry out for this. President Biden must issue an executive order banning Trump for running. Anyone who has been impeached should not be allowed to run.,2022-05-26T19:34:59Z,-1
It was all BS he just took your money,2022-05-23T22:52:42Z,-1
Just woke up from a coma. Dont tell me this actually happened,2022-05-13T07:19:31Z,-1
"Yea, but instead we ended up with a tangerine crook!   Lol",2022-05-02T09:49:12Z,-1
Okay now in ok,2022-04-16T18:15:30Z,0
"“Ladies and gentlemen, I am officially running.”
*runs off stage*",2022-04-16T00:51:11Z,1
Okay  okay 👍,2022-04-15T10:35:15Z,0
My president and commander in chief,2022-03-30T01:58:22Z,1
CONTROLLED BY LOBBYISTS MEANS JEWS,2022-03-26T04:38:46Z,-1
HAIL TRUMP HAIL OUR PEOPLE HAIL VICTORY,2022-03-26T04:38:23Z,1
Trump 2024,2022-03-17T02:53:52Z,1
Trump sucks.,2022-03-11T03:15:55Z,-1
Can't come soon enough..,2022-03-10T09:40:13Z,-1
God I miss Trump. Biden is god awful.,2022-03-09T16:22:34Z,-1
I wish w have president/ prime minister like Donald Trump..,2022-03-07T19:32:03Z,-1
this moment was historic..,2022-03-07T19:28:32Z,1
It’s okay to be a white man who voted for trump.,2022-03-05T05:46:42Z,1
watching this 6 years later it's given got kicked out the white house and never came back,2022-03-05T02:28:08Z,-1
We will crush TFG at the polls as we did in 2020.,2022-02-27T02:53:58Z,1
"Sad part is he was 100% right about politicians. Unfortunately, he himself, was no different.",2022-02-24T01:10:50Z,-1
Im using this video for my Philosophy presentation about fallacies in arguments💀,2022-01-23T14:24:31Z,1
Presidant Donald Trump's. with Bill Gates infra Office Defense Housing Authourites American CIA near make Bhai log no entar.,2022-01-13T13:35:29Z,0
Hi,2022-01-08T20:58:17Z,1
The legend that changed history TRUMP 2024 🇺🇸,2022-01-06T20:23:38Z,1
This the moment the timeline started to shift,2021-12-14T16:00:30Z,-1
"The best things he did besides a “good” economy, is showing that an outsider can win, openly stated that the media is our enemy, facilitated the move of ethnic minorities to the right politically, 
and made it cool for right wingers to be anti-war!  🇺🇸🦅",2021-12-10T23:44:00Z,1
Benedictdonald the traitor,2021-12-08T11:34:36Z,-1
"It’s sad that this man was slandered by the media, politicians, and celebrities. Guy only wanted what was best for America. Meanwhile we’re experiencing Obama 2.0, not good and I voted for Obama 😔",2021-12-02T01:26:50Z,-1
3:25,2021-11-30T04:01:21Z,0
can't wait for the announcement for the 2024 election!!!,2021-11-29T14:12:17Z,1
Trump  xijinping  tougether  world  two  top leader  okay  god  out  대도들 싹쓸어엎어버려 제거ㅡ죽음ㅡok,2021-11-12T20:18:36Z,1
You are the Greatest President we've ever had in this Country.  Make America Great Again .,2021-11-08T23:10:01Z,1
Trump 2024 we are still here!,2021-11-01T17:18:57Z,-1
A,2021-11-01T09:06:56Z,0
this marks a change in the effluence that governs the georythmic frequencies that govern the state of the planet mind. We are tired of the same old BS from the you know who. time to kick things up a notch and see what happens :),2021-10-04T21:08:36Z,0
We Get That Donald Trump Will Run For Obama,2021-10-02T09:42:47Z,0
"Does this mean he's conceding the 2020 election? Because if he won in 2020, as he keeps saying, he's not eligible for election in 2024.",2021-09-26T04:27:49Z,-1
Trash,2021-09-17T05:05:12Z,-1
Nothing but liberal vags everywhere...  Now look at the USA,2021-09-10T14:38:01Z,0
The MSM was focused on goading him the entire time (look up agenda setting theory).,2021-09-08T17:28:00Z,1
go for it donnie,2021-09-01T17:22:01Z,0
"Say what you want about him, but he changed the course of American history...forever",2021-08-05T23:39:13Z,-1
One of the most epic moments in history,2021-08-05T23:38:16Z,0
"look how genuinely interested he was back then.

it certainly was a heck of a downfall",2021-08-04T09:34:41Z,-1
I was in highschool I remember everyone laughed at this and gave him no shot,2021-07-31T13:09:30Z,1
The day the world changed,2021-07-22T21:12:33Z,1
amazing watching this in 2021,2021-07-18T09:41:22Z,1
Lol make America great? He made the USA the laughingstock of the world is what he did!,2021-07-17T12:28:05Z,1
"I hope this doesn't come true, but I have a feeling that future historians will go back to this day as the moment the United States of America began its decline, like all empires throughout history.",2021-07-14T04:48:17Z,-1
Please come back,2021-07-08T18:04:52Z,-1
I can believe some narcissist won over millions just by talking himself up. Greatest con man of all time I guess,2021-07-06T10:43:57Z,1
Are now on the way to winning the next election 2024 we have set up a new platform and things are looking good,2021-07-04T22:12:41Z,1
Love My President🙏🏽🇺🇸❤️,2021-07-04T01:08:02Z,1
"Wow, 6 years ago",2021-07-02T19:57:57Z,0
LOSER Donald was a great cheerleader. Problem is this nation needed a L E A D E R ! ! !,2021-06-28T20:46:27Z,0
"when was america great? when gay marriage was illegal, when america was still segregated? when men were allowed to abuse their wives? im genuinely asking when was america great in the first place??",2021-06-19T17:29:05Z,1
👨‍👩‍👧‍👦  😷😷😷😷😷😷🛁🙌,2021-06-13T00:11:55Z,0
"LOL, I just finished the book, ""Pelosi"".   Former Guy couldn't negotiate his way out of a paper sack.",2021-06-11T17:26:47Z,1
Try and get biden to make a speach like this,2021-06-10T00:11:28Z,-1
HANG EVERY MILLIONAIRE REPUBLICAN!,2021-06-07T14:39:55Z,1
"Observe the pathological liar, the malignant narcissist, the despicable racist loser.",2021-06-07T13:51:43Z,0
You ran and put our country and the world  in a demise that has never been seen before.,2021-06-05T02:08:34Z,-1
The media really fooled lots of Americans to make them believe this man was a horrible president,2021-06-02T07:44:52Z,-1
"Best president.
Biden failed at the border, pipeline, possibly inflation.",2021-05-27T06:13:45Z,1
"3:28
Why are you running?
WHY ARE YOU RUNNING!?",2021-05-22T10:52:06Z,0
Better than Clinton and Biden any day,2021-05-03T18:22:41Z,1
"I remember watching this speech in 2015 with abject horror. I told everyone who bothered to bring it up: Donald Trump is going to win the election. He is tapping into the nerve of America and no one else is even close to understanding the threat he poses. It is now 6 years, 2 impeachments, and 1 coup attempt later. I was right. And I hate it.",2021-04-29T09:53:41Z,-1
love trump country from lebanon,2021-04-28T20:22:49Z,1
2024,2021-04-22T13:37:47Z,0
"He's been the best US president in recent US history. Sadly, the average american has been fooled by democrats propaganda. Hope for 2024. Love you Mr. President.",2021-04-18T06:09:16Z,-1
"Trump: ""He's like a negative force
Also Trump: ""It's (U.S) like a third world country. 
So much for ""positive cheerleading... haha",2021-04-16T04:58:44Z,1
He’s so rude,2021-04-06T21:39:58Z,-1
029 125,2021-04-06T10:45:59Z,0
"His body language always gets me. His occasional point, the outstretch of arms when he speaks of himself lol",2021-04-02T19:37:40Z,1
"i won't forget i ve seen the best president ever 
ty Mr Trump",2021-03-31T15:52:30Z,1
Wow I think this guy could win,2021-03-29T04:56:00Z,0
Best president ever! I seriously don’t know what he did that people didn’t like besides tweets,2021-03-29T01:04:29Z,1
The best man our country has seen in the past century.,2021-03-28T05:01:09Z,1
"he's sick, nobody wants a stupid liar, no matter what he says
he will lie after lie he is poison .",2021-03-26T16:45:25Z,-1
Top 10 photos taken before disaster,2021-03-26T15:53:33Z,-1
I hope he finds the emptiness inside him can be healed. Accountability and responsibility is not his cross to bear alone.,2021-03-22T15:23:10Z,-1
"0:18 
0:51
2:52
 3:21",2021-03-19T23:53:34Z,0
everything that came out of his mouth in this vid is so true,2021-03-19T18:41:35Z,-1
This did not age well,2021-03-18T06:12:01Z,-1
Trump 2024!!,2021-03-18T02:45:49Z,1
I miss president Trump. Way better than the walking corpse that occupies the white house now.,2021-03-14T23:02:41Z,-1
🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪👪hi,2021-03-09T01:26:37Z,0
POV: you watching this in 2021,2021-03-04T14:43:27Z,1
The end of the cabal began here.  God bless him.  He's truly the god emperor.,2021-03-02T23:13:53Z,1
"Don’t think he’ll do well but if he does I it’ll go something likes this: 

-is behind in the polls by a lot to Hillary 
-wins to everyone’s shock
-builds a fantastic economy 
-get slandered by the media for 4 years straight

-get impeached  
-be the president during a worldwide pandemic 
-lose to the previous Vice President 
-claim voter fraud 
-potentially cause one of the biggest riots in American history (depending on who you ask)
-get impeached again
-don’t attend the inauguration 
-run again 

Just a guess tho, no way all that could happen in 5 years",2021-03-01T08:18:23Z,-1
"Trump won because Media and Democrats thought it was gonna be impossible for him, in 2020 of course the democrats and Media did their (dirty) work😂😂😂so progressive",2021-02-28T03:49:06Z,1
Love you Trump!,2021-02-28T02:56:41Z,1
3:27,2021-02-26T03:11:21Z,0
Nothing but a joke of a Christian and racist white supremacist along with all his followers.,2021-02-24T04:31:39Z,1
and he did all that and more!!!,2021-02-18T00:02:24Z,0
He knew then and he knows now. Deep state is going down along with CCP,2021-02-17T13:39:11Z,1
Yes!,2021-02-15T22:56:27Z,1
Please come back in 2024,2021-02-15T14:09:36Z,-1
"*Message from the future here in 2021*

This guy tries to overthrow the government because he lost the election and failed to secure a second term.

Oh, and he sat on his hands or went golfing while over 400,000 Americans died during a deadly pandemic.

We warned you not to elect him.",2021-02-08T23:57:25Z,-1
"U r still the president of 🇺🇸, God bless u Mr. President, 2021 from 🇮🇶",2021-02-05T13:47:30Z,1
a pack of lies,2021-02-05T09:16:47Z,-1
"he lowered taxes, jobs came back, factories opened, wages increased for minorities. he did all of that he was great",2021-02-04T15:53:34Z,-1
back when he didnt have his spray on tan. wooow,2021-02-03T15:07:07Z,-1
A great president,2021-02-03T05:26:13Z,1
The only man who stood a chance to make america great again. President  Trump you will forever be known as the best president the USA have ever had.,2021-02-02T01:47:34Z,-1
When the worst president in United States history announced he was running for president this day changed politics and the country for the worse 2017-2021 will not be a good time for the history books,2021-02-01T19:17:52Z,-1
"At that moment, the world would change forever...",2021-02-01T17:47:25Z,0
Started here nd ended with Rudy Giuliani screaming like Benson from The Regular Show in the middle of the parking lot of a landscaping company,2021-01-29T00:37:51Z,1
And you go down as the worst president in history.,2021-01-25T16:57:19Z,-1
I’m gonna miss this guy,2021-01-25T04:10:40Z,-1
"Best administration of my lifetime, I’ll never forget your service❤️🇺🇸",2021-01-22T08:55:56Z,0
I miss him already,2021-01-22T01:35:42Z,-1
Who is watching 2021?,2021-01-21T22:50:50Z,1
Thank you Trump for serving the American People !!!! You will be missed :( .,2021-01-21T19:53:13Z,1
3:28 most iconic moment in political history. He’ll be back,2021-01-21T07:15:06Z,1
I'm so glad trump ran. Most amazing president,2021-01-21T03:34:26Z,1
Amazing. The good old days,2021-01-21T01:02:21Z,1
Best president ever! I wish it wasn’t stolen.,2021-01-20T22:40:32Z,-1
"Anyone watching after his final day in office? What a ride it’s been, thankful for the amazing four years! cheers to higher taxes under Biden!",2021-01-20T20:54:55Z,1
"Thank you for it all. The greatest President in my lifetime. It’s so scary and sad what they’ll do to outsiders. We adore you, President Trump ❤️",2021-01-20T13:06:43Z,-1
Thank you President Donald Trump for being America President Of The United State 🇺🇸🙏❤️!,2021-01-20T11:37:30Z,1
I'm more excited by watching this speech today than I am about Kamala Harris becoming President.,2021-01-20T11:23:25Z,1
Best President Ever ♥️,2021-01-20T05:18:29Z,1
"Who’s here January 19, 2021?",2021-01-20T02:31:42Z,-1
Best 4 years of my life god bless you Donald,2021-01-20T00:59:55Z,1
Who is watching this on the last day of Trump's presidency? Trump  has truly been the man of the half-decade.,2021-01-19T20:22:56Z,1
"Five-and-a-half years of this man being the center of our focus, now coming to a gradual end. Surreal.",2021-01-19T16:51:17Z,1
And today is the last day of his presidency.  Historic.  First president to be impeached twice.  Approval rating is 26% and falling.  The first president to incite a coup.  From this speech to now is the longest 5 years of my life,2021-01-19T15:29:14Z,1
Just listen carefully to what he's saying it's clear as day.,2021-01-19T05:38:52Z,1
"If it wasn't for the racial rhetoric and sheer unprofessionalism, I think he might have made at least an average president. Too bad he went to the dark route....",2021-01-18T02:30:48Z,-1
"TRUMP BLESS AMERICA

IN TRUMP I TRUST",2021-01-16T21:53:08Z,1
5 years later he tries to coup the US and gets his second impeachment.,2021-01-16T06:06:55Z,0
"January 15, 2020, WOW!!!! DON'T WORRY, THE SMARTEST PRESIDENT, OBAMA IS SPIRITED AND RELISHING IN THIS MOMENT...ONE TERMED FOOL!!!",2021-01-15T18:39:19Z,1
3:27 for everyone,2021-01-15T07:35:55Z,1
Lets just forget this happened,2021-01-13T02:50:48Z,-1
"It's 5 years later, and Trump's legacy is a delusional terror cult.",2021-01-13T00:29:37Z,1
And these same clowns said he wouldn't do it ahaha,2021-01-12T02:10:14Z,0
"Anyone else watching after he incited a riot on the government because he lost his re-election lol

Edit: so much for Making America Great Again right?? 🤦🏽‍♂️",2021-01-12T00:18:57Z,-1
Trump 2020 he won.,2021-01-11T15:59:35Z,1
I love MY President!!!!,2021-01-11T06:55:14Z,1
And that is how America's nearly six year long nightmare began.,2021-01-11T02:00:44Z,-1
"im from the future, its Jan 10th 2021...trump lost re-election and incited violence on the capital...he has been spreading lies and disinformation about election fraud every minute of the day on twitter for 2 months....he is facing a 2nd impeachment on monday....",2021-01-10T23:41:40Z,-1
This man nearly destroyed this country. Thank goodness he was voted out. Good riddance!!!,2021-01-10T20:38:39Z,1
Who's here after he lost and post capital hill drama? 😥,2021-01-10T18:51:24Z,-1
They all laughed and he took 4 years of our lives,2021-01-10T06:47:48Z,1
And this is the day... the Deep State was F*CKED ;),2021-01-10T05:27:57Z,-1
Whos here after the congress attack?,2021-01-09T10:14:23Z,1
This is a message from the future ..we are calling from 2021..Do not take this guy seriously I repeat do not take this guy seriously ..it will be a certified disaster.,2021-01-09T07:48:00Z,1
This reality show ended on January 6.,2021-01-09T02:39:17Z,-1
"Who knew he’d go out with a coup on the Capitol? Terrible “President”, sore loser",2021-01-08T08:56:31Z,-1
This is interesting to watch given current events........ 08/01/21,2021-01-08T01:00:38Z,1
"Almost 6 years further people, can you believe it. This man changed my view on politics. I will never ever forget this man.",2021-01-08T00:51:14Z,0
"I remember the stir this speech made, the media coverage, and the lost business ties. I can’t believe it’s been about 5 and a half years.",2021-01-07T05:19:21Z,-1
FAILED,2020-12-26T06:05:51Z,-1
🇺🇸🇺🇸🇺🇸,2020-12-25T13:44:36Z,0
american history,2020-12-24T20:29:08Z,0
This where doomsday started,2020-12-24T18:46:34Z,-1
well this aged like milk in a wool carpet.,2020-12-22T21:42:18Z,-1
lol u should see trump's face after he lost,2020-12-21T16:05:43Z,0
You can hear a scream of terror at 3:29,2020-12-21T15:03:13Z,1
The moment America became the stupidest and dumbest nation ever,2020-12-18T14:51:19Z,-1
"There's a definite cognitive decline between this speech and what he is now.

Not as bad as Biden, but it's still pretty bad.",2020-12-17T22:47:03Z,-1
And so the magic of Kek started,2020-12-16T18:01:00Z,1
I’m Making An Announcement I’m  coming back from the dead to run for president in 2024 With A Coke Can As My VP And I Think I can Beat This Man. Spread the word!,2020-12-11T23:10:00Z,1
Time flies,2020-12-09T05:22:39Z,1
"Oh my sweet LORD, I thank you that Trump is no more.",2020-12-08T22:06:53Z,1
"As much as I hate him, how can you look at this and still be surprised he won",2020-12-07T20:17:47Z,-1
"Trump: we need someone to make America great again

Me: yeah joe biden",2020-12-05T15:06:36Z,1
"Trump is the rain on the lawn that made all the worms rise to the surface, visible for everyone to see.",2020-12-02T11:00:17Z,-1
this was the worst moment in us history... EVER,2020-12-01T06:12:36Z,-1
This is such a historical moment. It’s going down into the history book,2020-11-30T20:20:09Z,1
"Towards Victory, Trump of God, Americans and Brazilians for Good! Cléverton from Brasil.",2020-11-27T20:06:17Z,1
