comment,date,sentiment,Positivo,Negativo,Neutro
"On November 5, 2024, we will live this moment again! #MakeAmericaGreatOnceAgain",2024-03-06T03:50:15Z,-1,0,1,0
Donald will be back..... in the White House 2024 ! Cant wait for the salty liberal tears ! MAGA !🎉🎉🇺🇸🇺🇸,2024-03-05T15:11:48Z,0,0,0,1
Pence——delusional to his own value.,2024-03-04T20:57:04Z,1,1,0,0
"Большое ,, Напряжение "" для Охраны -- Когда Господин ТРАМП идет в ряды собравшихся --- Осторожнее НАДО быть ЕМУ !!! Не надо ТАК - Рисковать!!!!! ОПАСНО - время такое Сложное.....",2024-03-03T16:23:06Z,1,1,0,0
"Да,Господин ТРАМП -- Сильно - Волевой Человек! Это видно невооружённым взглядом любому Здравомыслящему Человеку! ЕГО - ПРЕДНАЗНАЧЕНИЕ на РОДИНЕ= БЫТЬ Лидером !!! ЕСТЬ в НЁМ*ТА*-- Человечность! Человеколюбие....чего НЕТ у нынешнего руководства Америки....к сожалению.",2024-03-03T16:04:10Z,1,1,0,0
I once had a conversation with someone who wasn't a fan of Donald Trump. I asked the person what would happen if he won. There was no way he could win the person commented. I saw the person later after Donald Trump's first presidential election which occurs every four years in this country. The person was still in shock and tears. At that time I could understand but today I just laughed cause both parties are drinking the Kool-Aid from the same cup...smh.,2024-03-03T13:13:10Z,-1,0,1,0
A bird in Gujarati border bujurg ho chuka hai usko kya government chalayega uski ladkiyan chalati hai jitne mein aakar sabse jyada Pakistan mein mere upar Muslim karne wali aur India ke bacche Nawaz Sharif ki ladki ko yah aurat hai government dilane mein sabse bada kirdar Inka hi kyunki na vah harami army army army army chief ko bulate hain na vah yah kam karta aur FIR Britannia ka sabse bada hath hai vah ek number ke kanjar hai,2024-03-03T10:22:14Z,1,1,0,0
"look at barron  he looks like a dam nerd 
where am i at ma ?   my name is barron i'm a computer nerd   i'm a weirdo",2024-03-02T14:08:30Z,1,1,0,0
nuk jam i sigurt100. mide me vllavin e ivankes  kam qen shebimin ushtarak po nuk jam bash. shum i sigurt,2024-03-02T08:46:07Z,1,1,0,0
Only demons are serving Zionism !,2024-03-01T00:58:01Z,1,1,0,0
"Haha! Helt tvättäkta, bra där",2024-02-25T23:55:52Z,1,1,0,0
I won they lied I never lie n if I did u would still be Leicester me,2024-02-25T11:28:14Z,-1,0,1,0
"The rapist 
Who stole classified things and things",2024-02-25T11:27:15Z,-1,0,1,0
"The rapist 
Who stole classified things and things",2024-02-25T11:27:07Z,-1,0,1,0
What does he think of John McCain again,2024-02-25T11:25:53Z,0,0,0,1
🎉🎉😂😂😂😂,2024-02-25T08:14:59Z,0,0,0,1
"Good BLESS famiglia Mr, Presente Trump.🙏🙏🙏👍",2024-02-24T08:05:45Z,1,1,0,0
This was the single greatest thing I witnessed in my life.,2024-02-24T03:09:39Z,1,1,0,0
So nostalgic man let’s get this champion into the WHITE HOUSE IN 2024❤,2024-02-23T03:20:19Z,-1,0,1,0
God morning po sa inyong lahat jan. Maraming salamat po sa lahat god bless ty  po ❤❤❤.,2024-02-21T22:52:02Z,1,1,0,0
"I can’t wait for Trump to come back.  Life has been unliveable without him.  But with his return to the president’s chair, I will be forever motivated.",2024-02-17T12:57:13Z,-1,0,1,0
"Ben Đen hen kém khong Duntu.cach 
Lam tong thống tuoc hết chức quyền cho 
Về lam nguoi thuong dân",2024-02-14T22:07:58Z,1,1,0,0
妳及你去美國念妍九所最重要餐加口試紙畢測驗其次,2024-02-14T06:09:55Z,0,0,0,1
🎉❤🎉,2024-02-14T01:55:45Z,0,0,0,1
Chum muon nam,2024-02-13T15:28:35Z,-1,0,1,0
😂да будете вы прокляты во веки веков!!!!!!!,2024-02-12T16:32:11Z,0,0,0,1
"А сколько  Российских ,гражданских  самолётов сбили сша?",2024-02-12T16:28:59Z,0,0,0,1
Como habla de. Victoria  el. DICTADOR RUSO  ES SU. GRAN AMIGO. POR HOLDEN DEL. TRAIDOR  TRUMP LE DIJO DESTRUYE LA OTAN. TRUMP Y. PUTIN SUS. VICTORIAS  DE LOS DOS. DICTATADORES  ES EN LA MENTE DE. ELLOS LA. NACIÓN  🇱🇷 AMERICANA  NO VOTARA POR UN TRAIDOR  Y ALIADO DEL CRIMINALES. DICTADOR. RUSO. TRAIDOR. TU. LOSSES  LOSSES NAZI PUTIN TU. TRUMP. TU LOSSES  LOSSES. LOSSES NAZI  😂,2024-02-11T23:49:52Z,-1,0,1,0
When he wins in 2024 first order get the illegal migrants out!!!!!! Close the damn border!!!! Biden is a disaster!,2024-02-11T02:22:49Z,-1,0,1,0
Great man Mr. Donald j Trump 🇺🇸❤🙏,2024-02-10T11:30:46Z,1,1,0,0
Hope to see the same people on the same stage this November 2024!!! 🙏🙏Greetings from Slovenia🤘🤘,2024-02-09T22:22:03Z,-1,0,1,0
The great American story,2024-02-07T05:04:03Z,1,1,0,0
Để có một thế giời hòa bình tôi mong ông chiến thắng để sớm trở lại ngôi Tổng thống,2024-02-07T00:52:30Z,-1,0,1,0
"Time flies man. I was twelve when this happened, and now I’m twenty. Getting ready to vote for the first time in 2024, and vote for TRUMP!",2024-02-04T23:44:43Z,1,1,0,0
The best President ever! President Trump 2024!,2024-02-04T10:52:14Z,1,1,0,0
Why Fighting with others?,2024-02-04T09:34:26Z,-1,0,1,0
Tat ca klnhbte tram hom nay wuyet lam long trở lại no dat kinh tế tal209 nhe anh anh chuan bl Dl ron daq,2024-02-03T00:59:29Z,0,0,0,1
The glolhoalblnh ngay,2024-02-03T00:53:28Z,0,0,0,1
2024,2024-02-02T01:41:42Z,0,0,0,1
Solong. Biden get out and stay out of here,2024-01-30T22:27:57Z,0,0,0,1
Yes sssss great 😊😊😊😊Donald  j Trump ❤❤❤❤❤,2024-01-30T22:09:56Z,1,1,0,0
"I was anti-Trump from day 1 by my own ignorance of not thinking for myself and just trusting what i seen in 30 second clips. By the end of his presidency, i grew to appreciate him and this year, he will be getting my vote. This man has done more for this country than any president that i can recall in my 34 years...on a side not, people are super shocked when they see me, a practicing Muslim, wearing a Kufi (religious hat for Muslim men) and a Trump 2024 shirt 🤣",2024-01-27T14:06:56Z,1,1,0,0
Good stuff,2024-01-27T02:16:07Z,1,1,0,0
We need him back!!🐐 goodbye Biden aka sleepy Joe.,2024-01-27T01:06:12Z,-1,0,1,0
Why and where?,2024-01-26T09:33:37Z,0,0,0,1
GoD is Good,2024-01-26T07:45:42Z,1,1,0,0
This was a win for the world,2024-01-26T02:23:28Z,1,1,0,0
Tt trump rất tốt,2024-01-25T20:45:56Z,-1,0,1,0
3:20 for those that want to skip sissy Pence.,2024-01-25T06:07:50Z,-1,0,1,0
I love how other communist run media cuts out Trump,2024-01-24T04:53:30Z,1,1,0,0
Let’s run it back 2024. Trump is the best,2024-01-24T01:13:01Z,1,1,0,0
This was so awesome 🇺🇸,2024-01-24T00:02:40Z,1,1,0,0
"Ông trăm lên tổng thống Mỹ thế giới hòa bình
Các vị rậm râu sâu mẳt làm tổng thống chỉ có loạn...",2024-01-23T02:04:42Z,-1,0,1,0
THE G.O.A.T🐐,2024-01-22T17:56:40Z,1,1,0,0
Господин транп вы должны быть президентом США и будете 2024 вы будете президентом США я уверен на 100 желаю удачи успеха я уже заранее поздравляю 🎈,2024-01-21T05:23:22Z,1,1,0,0
Dân chúng tôi rất mong ông y kiến hai nước hòa bình cực cho dân hai nước chúng được nhờ ông  nhé,2024-01-20T14:26:27Z,1,1,0,0
Ông trum trúng tổng thống mỹ phải không đó,2024-01-20T14:23:57Z,-1,0,1,0
DONALD TRUMP! DONALD TRUMP!,2024-01-19T23:43:58Z,0,0,0,1
❤❤❤❤❤❤❤❤❤,2024-01-19T23:06:49Z,0,0,0,1
LETS GO TRUMP 2024 we will here this music again and see this soon 03:20,2024-01-18T07:05:04Z,1,1,0,0
Bi Đức phan boi tho nhi kỳ phan boi đô la trăm lien Minh nhat phap ka Dạ,2024-01-18T04:05:01Z,1,1,0,0
3:33 Never noticed the time traveler peaking trough the curtain to snap a selfie with Trump.,2024-01-17T23:45:13Z,0,0,0,1
can he look uglier?,2024-01-17T10:33:20Z,-1,0,1,0
👌🏻❤👌🏻,2024-01-15T12:03:58Z,0,0,0,1
Who's here before 2024 election in hopes for the better world? 😢,2024-01-15T10:27:26Z,0,0,0,1
12:13 is a very authentic moment,2024-01-15T02:10:39Z,-1,0,1,0
"Tham nhung lịch sư la tong giam doc adi banh
La thang ben đen và tháng.hoa họp",2024-01-14T01:58:19Z,1,1,0,0
Chum thăm những ha ly,2024-01-14T01:52:56Z,1,1,0,0
Dong lào va châm bån,2024-01-14T01:51:14Z,1,1,0,0
"Da Phang phu 25 tên trong Duong day tòa tôi vao va nhiều tên giam doc bo.cong an thăm những 
Tu quang linh yen bai va ha tinh hoa binh thanh hoá Quảng Bình quân tan jinh phu nhuan
Donf lai qu.kinh khùng vi Jon.tjam Quan thai bình",2024-01-14T01:49:31Z,1,1,0,0
"Nước Mỹ thanh lập lai 50 may tinh moi cua 50 bang tôi se cung cấp nước Dien cũng 
Mang mang ten ta tuong chiến",2024-01-14T01:46:01Z,0,0,0,1
"Di la tram tiep tuc tuyen 25 nha báo 
Ve ve t c thay the kha lit va ke bao thu pha hoai nuoc Mỹ",2024-01-14T01:43:45Z,-1,0,1,0
Cau chuc cho do na trump dac cu vau nam2024,2024-01-13T10:50:26Z,1,1,0,0
รัก,2024-01-12T14:40:19Z,0,0,0,1
❤🎉,2024-01-12T14:31:30Z,0,0,0,1
"¡¡¡Doy Sacias a mi Dios que me consentido mi petición de que Trump fuera el Precedente de las Estados Unidos, Sacias Señor!!!",2024-01-12T07:20:08Z,-1,0,1,0
"Ini Saya ,Sudah Ada Di Kampung tram .Kapan ...Tram..!? (perjemahkan bahasa Inggris Ke,Tram . Franki Pran",2024-01-12T06:47:03Z,0,0,0,1
INSTRUIT OU BIEN NON SCOLARISE?¿????😮😮😮😮,2024-01-10T21:22:29Z,1,1,0,0
❤,2024-01-09T07:35:31Z,0,0,0,1
Năm 2024 Biden hay Trump làm tổng thống nhỉ cả nhà,2024-01-09T01:27:06Z,0,0,0,1
Clip từ năm nào vậy,2024-01-09T01:24:07Z,-1,0,1,0
Đã có kết quả bầu cử tổng thống năm 2024 chưa nhỉ,2024-01-09T01:19:44Z,-1,0,1,0
Abc and it's owner disney hates the united states of America. it's loyality lies with china and anti american elements in the United States and the alleged allies of the United States.,2024-01-09T01:10:45Z,-1,0,1,0
Lifelongtrupgdesuperaraddeerrdoonnaddeerr,2024-01-09T01:00:40Z,0,0,0,1
Incredibly dark moment for our country.,2024-01-07T21:11:12Z,0,0,0,1
Vive'donald'trump''votez''pour'trump,2024-01-07T12:19:23Z,-1,0,1,0
Vitez'pour'donald'trump''sinon'cette'guerre'des'mensonger'ne'serent'pas'finit',2024-01-07T12:14:13Z,-1,0,1,0
Yes how how great man great leader USA,2024-01-07T11:44:10Z,1,1,0,0
Kuhjih,2024-01-07T10:59:09Z,0,0,0,1
"Hello
Ô ng trump",2024-01-07T10:58:49Z,-1,0,1,0
Como ler a Bíblia Sagrada em nome de Jesus Jesus me ajuda Jesus levar a tua palavra Jesus o mundo tá precisando de Jesus Nação dos Estados Unidos Ora pela nação de Israel e o mundo tá precisando de Jesus meu Deus misericórdia não deixa o comunismo de uma conta do mundo senhor onde eles vão destrói tudo Jesus misericórdia Senhor tenha misericórdia Senhor o amor orar sem cessar orando sem cessar olhando para Jesus Deus abençoe em nome de Jesus obrigado Jesus obrigado Jesus,2024-01-06T14:56:53Z,1,1,0,0
Deus Ilumina Mercury os presidentes dos Estados Unidos para o comunismo tomar conta do mundo Jesus tenha misericórdia Jesus e a nação e a Helen e o Brasil e o mundo que precisa da palavra de Deus Deus abençoe a nação do Estados Unidos de Israel e todas as famílias necessitadas senhor abençoa pai que é um clamor muito grande no mundo a fome e chamado de desequilíbrio Mundial se instalando no mundo o comunismo onde eles entra acaba com tudo de Jesus misericórdia Senhor tenha misericórdia Abençoa Senhor a nação dos Estados Unidos senhor ô Jesus da força Ele fez trabalhar na tua presença Jesus obrigado Jesus obrigado senhor obrigado Jesus com Jesus na frente dá tudo certo meu povo como orar sem cessar olhando para Jesus orar sem cessar olhando só para Jesus muito obrigado Jesus muito obrigado Jesus o meu pai o meu pai o meu pai o meu pai,2024-01-06T14:50:44Z,1,1,0,0
Well open minded he most important to all civil and residence organization all America all people and more person in the world.,2024-01-05T04:07:37Z,1,1,0,0
I believe that a Donald Trump A first high leader on Street Wall America. Because he is very great leader not rasis people in America Statue.,2024-01-05T04:04:24Z,1,1,0,0
ต้องจุดธูปอันเชิญมาหรือเปล่าครับ😊😊,2024-01-04T08:38:49Z,0,0,0,1
คงมั้ยมีอะไรเข้าตาแล้วเนอะ😢😢,2024-01-04T08:36:44Z,0,0,0,1
หาละยะทางทางจบแล้วหรือนี้😂,2024-01-04T08:35:30Z,0,0,0,1
ขอขอบคุณทุกท่านครับ😢😢,2024-01-04T08:32:26Z,0,0,0,1
อะไรนะเข้าให้แล้วหรือไงละครับ😮,2024-01-04T08:31:16Z,0,0,0,1
ตายแล้ว🐔ไก่บ้านเหมือนเดิม😮หา,2024-01-04T08:29:06Z,0,0,0,1
ดูถ้าทางจะเจ็บหัวน่าดูนะครับ😂,2024-01-04T08:26:56Z,0,0,0,1
อยู่กันกันนานนานหรือเปล่าครับ😂,2024-01-04T08:25:38Z,0,0,0,1
ตัวอะไรก็มั้ยนะครับและทั่วไปตามกันเลยครับ😂,2024-01-04T08:23:09Z,0,0,0,1
เดี๋ยวหาว่าก้องหน้ามั้ยแน่อะไรนะครับ,2024-01-04T08:17:53Z,0,0,0,1
ถ้ามีอะไรเสนอก็บอกบอกแบบตรงตรงนะครับ,2024-01-04T08:16:25Z,0,0,0,1
จะเหม็นเหม็นประเทศอื่นบ้างครับ😊,2024-01-04T08:14:49Z,0,0,0,1
ปิดตาชนเลยถ้าอย่างนั้นนะครับ,2024-01-04T08:13:41Z,0,0,0,1
คงไม่เหลือทางเดินแล้วนะครับ,2024-01-04T08:12:46Z,0,0,0,1
เกิดแก่เจ็บตายเป็นธรรมดาเนอะ😂😂,2024-01-04T08:12:01Z,0,0,0,1
Buddha and God's helps Trump work again now Buddha and God's helps everybody's helps everybody's helps for me thank you so so much 🎶 🎉🎉🎉🎉❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2024-01-03T16:51:54Z,1,1,0,0
Trump will win again  💙🤍❤ 2024  💙🤍❤,2024-01-02T11:57:11Z,1,1,0,0
Usa,2024-01-02T08:43:39Z,0,0,0,1
🥰🥰,2024-01-01T08:08:47Z,0,0,0,1
😂,2023-12-31T13:03:01Z,0,0,0,1
"Cảm ơn Ngài Tổng Thống, không có gì cao quý và danh dự đến cho toàn dân Mỹ chúng tôi… Ngài luôn luôn là một vị Tổng Thông của chúng tôi và gia đình chúng tôi; Chúng tôi luôn luôn và mãi mãi đứng sau lưng ngài trong mọi thời đại.",2023-12-31T06:32:41Z,-1,0,1,0
"Fun fact, the American people did not choose trump. The chose Hilary, the electoral college put Donald trump in office. Just remeber, your vote does not matter.",2023-12-30T15:06:57Z,1,1,0,0
Can't wait to hear what he says in his 2024 Victory Speech!,2023-12-30T08:32:54Z,1,1,0,0
"Đảng,dân chủ,tìm mọi thủ đoạn loại ông Trump ra khỏi nước Mỹ.có nghĩa là Đảng dân chủ,tước quyền công dân mang tên quốc tịch nước Mỹ.vì sợ ông Trump thắng và làm tổng thống nước Mỹ.",2023-12-30T07:27:25Z,-1,0,1,0
Hacer algún amigo,2023-12-29T19:52:25Z,1,1,0,0
Papa Trump 2024 💪,2023-12-29T18:49:29Z,0,0,0,1
One of the most memorable moments in human history I love you Donald Trump foreal you inspire me. They say this say that i ask them have you met Donald Trump?,2023-12-29T10:56:08Z,1,1,0,0
💪💪💪♥️♥️♥️🤟🤟🤟,2023-12-29T08:18:44Z,0,0,0,1
👌👌👌♥️♥️♥️🤟🤟🤟,2023-12-29T08:18:29Z,0,0,0,1
👍👍👍♥️♥️♥️🤟🤟🤟,2023-12-29T08:18:13Z,0,0,0,1
We don't need trump for president,2023-12-28T20:40:22Z,-1,0,1,0
"Donald Trump or Joe Biden? 
Joe !",2023-12-26T14:54:48Z,1,1,0,0
Con Xin chào ngài TRUMP. Con cảm ơn ngài TRUMP nhiều ạ,2023-12-26T12:58:44Z,-1,0,1,0
"Those were the good old days!!!!!!! NOW LOOK!!! Joe, the briber in chief",2023-12-26T05:13:59Z,1,1,0,0
The best for latinoamerica,2023-12-26T01:19:38Z,1,1,0,0
"The next president, USA Trump",2023-12-26T01:15:26Z,1,1,0,0
I like,2023-12-24T12:31:25Z,1,1,0,0
I watch this while I workout. 🇺🇸,2023-12-24T09:09:10Z,1,1,0,0
Hi,2023-12-24T05:08:15Z,1,1,0,0
"TRUMP ☑️
President of USA 🇺🇸 
What a President!
2024
USA 🇺🇸",2023-12-24T02:27:44Z,1,1,0,0
Absolute class🎉,2023-12-23T05:28:13Z,1,1,0,0
Ok,2023-12-23T01:47:47Z,0,0,0,1
👍,2023-12-23T01:46:31Z,0,0,0,1
👌🌄,2023-12-23T01:45:30Z,0,0,0,1
Hi👌🙋,2023-12-23T01:43:56Z,0,0,0,1
"AMIRCA
🚑🚑🚑🚑🚑🚑🚑🚑🚑",2023-12-23T00:10:48Z,0,0,0,1
Man i remember celebrating this like it was 1945 back in highschool lets make it hapoen again trump 2024,2023-12-22T18:46:39Z,-1,0,1,0
👏,2023-12-21T10:33:19Z,0,0,0,1
❤❤,2023-12-21T10:32:50Z,0,0,0,1
👌👍,2023-12-21T10:31:28Z,0,0,0,1
Okok,2023-12-21T10:30:51Z,0,0,0,1
✌️,2023-12-21T10:30:28Z,0,0,0,1
Thank,2023-12-21T10:29:09Z,1,1,0,0
❤,2023-12-21T10:28:00Z,0,0,0,1
Hi 🙋🙋,2023-12-21T10:27:00Z,1,1,0,0
👌,2023-12-21T10:26:06Z,0,0,0,1
👏👏🚴☂️,2023-12-21T10:24:49Z,0,0,0,1
👏,2023-12-21T10:23:24Z,0,0,0,1
Ilav 👍👌👋🤲🌺💪☂️🙋,2023-12-21T10:20:00Z,0,0,0,1
👌👌👌👍👍,2023-12-21T10:14:32Z,0,0,0,1
👋👋,2023-12-21T10:12:55Z,0,0,0,1
👋👋,2023-12-21T10:12:45Z,0,0,0,1
Hi,2023-12-21T10:12:29Z,1,1,0,0
Everyone on the stage is beaming of excitement. Little do they know how much drama will unfold 4 years later...,2023-12-20T08:46:07Z,1,1,0,0
...😊,2023-12-19T17:59:48Z,0,0,0,1
At 28:30 he hugged his brother.,2023-12-19T15:55:39Z,0,0,0,1
Pence is such a parasite.,2023-12-18T23:40:46Z,1,1,0,0
Thank.  You.   For.   A.  Great.  Speech.    Sir.   Donald.  Trump.   Very.  Success.   No. More.  War.   Is. Not.  Good.  To. Kill. Peoples.   God. Bless.   America.    Merry.  Christmas.  And.  Happy.  New. Year.,2023-12-17T19:19:17Z,1,1,0,0
Everybody.      Are.    The.    Same.     No.   Matter.  Who.    You.  Are.      White.   Black. And. Brown    the. Only.  Thing.  Is.  Different.   Our.  Colour.  And.  Languages.   What.   Is.  Gonna.  Happen.  In. This.  World.  More.  Killing. Peoples.  For. What. What. The. Use. Of. Living.  And.  Make.  Good. .family.  Together. Enloy.  The.  Life.  From.  God.,2023-12-17T19:07:26Z,1,1,0,0
Who knew pence would back stab him in the end.,2023-12-17T13:11:03Z,-1,0,1,0
The 2016 election is the only election in American history that has been rigged. Putin made Trump win.,2023-12-17T02:51:18Z,0,0,0,1
"Donald John Trump 
(1946 - ) Queens, New York
45th POTUS - (2017 - 2021)

When I cast my ballot for Donald J. Trump on November 5th, 2024, I will NEVER be more PROUD in my life to vote for a candidate for public office.

When you take the helm of this proud country on the 20th day of 2025, my faith in our beloved United States will be RESTORED!!!

LOVE AMERICA, & LOVE TRUMP!! ❤️🇺🇸",2023-12-16T23:25:19Z,1,1,0,0
Namaskar bhai sahab Trump vah little prince love u and family,2023-12-16T18:06:06Z,1,1,0,0
Amin ❤️🌹🌹🌹🤝✋🦅,2023-12-16T11:32:56Z,1,1,0,0
Super strong speech,2023-12-15T13:57:05Z,0,0,0,1
I hope this happens again. TRUMP2024,2023-12-14T01:38:50Z,-1,0,1,0
"Who wants to see a man that ended up being the worst traitor in American history,  Rico!",2023-12-13T04:57:23Z,-1,0,1,0
They were all smiles then but aren't smiling now,2023-12-13T03:33:14Z,1,1,0,0
FREE PALESTINE 🇵🇸🇵🇸🍉🍉 AND ALL LIVES MATTER.,2023-12-11T23:32:05Z,1,1,0,0
"Do you think he chose ""You can't always get what you want"" as the theme song for his speech because he was mocking the Democrats, or do you think it was chosen due to the fact he thought he'd lose?",2023-12-11T07:14:59Z,-1,0,1,0
"And for better or worse, nothing was ever the same again.",2023-12-09T09:51:59Z,-1,0,1,0
Best night ever in politics. Let's repeat this Trump magic again in 2024.,2023-12-09T03:56:05Z,1,1,0,0
2024 !!! Is almost here,2023-12-07T23:25:23Z,-1,0,1,0
4:27 You can see the emotion in his face. The man worked so hard his entire life.,2023-12-06T20:07:40Z,-1,0,1,0
!!!!! We need him back! Trump in 2024! 🇺🇸🇺🇸🇺🇸🇺🇸,2023-12-02T20:30:29Z,-1,0,1,0
"Praise God thank you very much for Donald Trump for our president  lknow that he would be nothing but the best for him amen God thank you lordjesus christ forever father God amen! God bless America again, thank you lord God bless us all amen God thank-you amen loveyou God all amen 😂😊",2023-12-02T15:40:02Z,1,1,0,0
People!,2023-12-02T06:01:36Z,1,1,0,0
🥺😭🤮,2023-11-30T16:46:46Z,0,0,0,1
"no wars no bs under trump. markets were booming. now look,,,",2023-11-30T03:50:19Z,1,1,0,0
Raise your hand if you know they're gonna rig 2024 but you're still gonna vote in person for real king,2023-11-30T00:16:30Z,1,1,0,0
Eleders fanchise there tax bisnesses from incorpations,2023-11-27T20:37:30Z,-1,0,1,0
Were taking out the trash SIN in peoples  name,2023-11-27T20:35:46Z,-1,0,1,0
Curly haired guy don't play,2023-11-27T07:54:11Z,1,1,0,0
"brooo, Barron looks like me on lsd when I gave a speech at a conference in DC years ago LOL",2023-11-26T06:26:44Z,1,1,0,0
"Still hilarious seeing them play ""You can't always get what you want"" and thinking about Hillary all pissed off throwing a wine glass at podestas head hahaha",2023-11-24T15:16:23Z,1,1,0,0
Trump 2024❤,2023-11-23T11:06:45Z,1,1,0,0
We want you back Mr President,2023-11-22T09:34:22Z,-1,0,1,0
Mikes selling us all OUT 2023 Who could of seen that 🇺🇸,2023-11-20T22:10:15Z,-1,0,1,0
#USA https://youtu.be/FZ_G5j9yVIU?si=ZbgQphCvkBwkttip Remember Trump loves YOU 🇺🇸🇺🇸🇺🇸🇺🇸,2023-11-20T22:07:24Z,1,1,0,0
TRUMP 2024,2023-11-19T23:34:21Z,1,1,0,0
關於我的上任所有職，你所有國總統所討論的問題，如果沒有很需要，我依然站在幕後，處理的主題依然是地球的存亡，跟高難度的問題處理，目前我不介入任何的管理階層，這是我的意思，大家的意思源起的意思，還未知，#許永吉立文，謝謝大家,2023-11-17T10:35:08Z,0,0,0,1
AGAIN,2023-11-17T02:33:30Z,0,0,0,1
We Must Bring Back Our President Trump . He is the People President as Always!,2023-11-15T09:17:19Z,1,1,0,0
"है समा के लिये जीवन का रन्ग तो खाबो के लिये आया हसी के लिये येहासस का अवसर

जो अर्मानो की तरह छाया कालिया तो खाबो मे रहा तजगी के लिये हसी का सफर


जो सूफिया की तरह आये आर्मानो का रन्ग तो खिल गये येहासस मे रोनक का असर

किरनो का आकार सितम की तरह छाया तो खाबो के लिये रहा कालिया का अवसर",2023-11-15T09:12:26Z,0,0,0,1
I told you Biden loves me 0:02,2023-11-12T03:00:32Z,1,1,0,0
Isn’t it d.b. Cooper.??,2023-11-12T02:23:47Z,-1,0,1,0
"I remember being angry and upset over trump winning the election. I wanted Hillary Clinton to win sooooooooooo bad, I was 15 back then! He cannot go back in office! At all! Trump is a real JERK!",2023-11-10T22:53:29Z,-1,0,1,0
7 years ago today,2023-11-10T02:32:30Z,-1,0,1,0
Def the biggest upset in any US presidential election history.,2023-11-07T05:19:15Z,-1,0,1,0
"When ""you cant always get what you want"" starts playing ... Kino 🎥",2023-11-06T10:18:53Z,-1,0,1,0
barron is like 7 foot 7 nowadays,2023-11-06T03:54:51Z,-1,0,1,0
Trump walking in with his family to triumphant music will never get old. pure goosebumps. greatest president in American history.,2023-11-06T03:47:47Z,1,1,0,0
For Biden Lovers I'm glad That Rotten Hillary didn't get that title of PRESIDENT,2023-11-02T19:02:33Z,1,1,0,0
"To me Trump is a white tribal chief. ""GET THEM OUT!"" Is Trump's calling card. lol",2023-11-02T14:28:50Z,1,1,0,0
Great President 🇺🇸,2023-11-01T21:26:38Z,1,1,0,0
Nation Iran moments love ❤️ resolution moments non graded  win BLOKS 💯🎆🙏,2023-11-01T19:58:25Z,-1,0,1,0
"What a moment 
Iconic",2023-10-31T17:34:03Z,1,1,0,0
